Uraian,2021,2022,2023,2024
Jumlah Pencari Keja Laki-Laki,316,435,599,221
Jumlah Pencari Kerja Perempuan,252,321,499,155
Jumlah Pencari Kerja Tidak Bersekolah,0,0,0,0
Jumlah Pencari Kerja Tamatan SD dan Sederajat,4,10,33,7
Jumlah Pencari Kerja Tamatan SMP dan Sederajat,12,10,62,6
Jumlah Pencari Kerja Tamatan SMA dan Sederajat,344,270,700,192
Jumlah Pencari Kerja Tamatan Diploma I/II/III,64,77,85,47
"Jumlah Pencari Kerja Tamatan S1,S2",144,237,218,124
Jumlah Tenaga Kerja di Luar Negeri Terdidik,1,3,22,19
